Job Title,Salary Estimate,Rating,Location,Size,Type of ownership,Industry,Sector,job_state,company_age,python,spark,tableau
Data Scientist,90-109 ,3.6,"Chicago, IL",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology, IL,6,1,0,0
Data Engineer,90-109 ,4.2,"Winter Park, FL",51 to 200 employees,Company - Public,Advertising & Marketing,Business Services, FL,14,1,1,0
Sr. ML/Data Scientist - AI/NLP/Chatbot,90-109 ,3.8,"Cupertino, CA",5001 to 10000 employees,Company - Public,Telecommunications Services,Telecommunications, CA,24,1,1,0
Data Scientist,90-109 ,5,"San Francisco, CA",1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology, CA,4,0,0,0
Senior Data Engineer,90-109 ,4.9,"Lehi, UT",201 to 500 employees,Company - Private,Lending,Finance, UT,9,1,1,0
Data Engineer,90-109 ,4.4,"Culver City, CA",51 to 200 employees,Company - Private,Advertising & Marketing,Business Services, CA,17,1,0,0
Data Scientist,90-109 ,3.3,"Lake Oswego, OR",1001 to 5000 employees,Company - Private,Computer Hardware & Software,Information Technology, OR,8,1,1,1
Senior Data Engineer,90-109 ,4.9,"Lehi, UT",201 to 500 employees,Company - Private,Lending,Finance, UT,9,1,1,0
Data Scientist,90-109 ,4.2,"San Mateo, CA",201 to 500 employees,Company - Private,Lending,Finance, CA,8,1,0,0
Data Analyst,90-109 ,4.5,"San Francisco, CA",201 to 500 employees,Company - Private,Staffing & Outsourcing,Business Services, CA,26,1,1,1
Data Engineer,90-109 ,4.8,"Palo Alto, CA",201 to 500 employees,Company - Private,Video Games,Media, CA,8,0,1,0
Data Integration and Modeling Engineer,90-109 ,3.8,"Holyoke, MA",501 to 1000 employees,Nonprofit Organization,Utilities,"Oil, Gas, Energy & Utilities", MA,23,0,0,0
Tableau Data Engineer 20-0117,90-109 ,3.7,"Chicago, IL",1001 to 5000 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology, IL,19,0,1,1
Senior Data Scientist,90-109 ,3.3,"San Francisco, CA",51 to 200 employees,Company - Private,Electrical & Electronic Manufacturing,Manufacturing, CA,7,1,1,1
AI Data Scientist,90-109 ,3.3,"McLean, VA",5001 to 10000 employees,Nonprofit Organization,Federal Agencies,Government, VA,62,1,0,0
Machine Learning Engineer,90-109 ,5,"Herndon, VA",1 to 50 employees,Company - Private,Aerospace & Defense,Aerospace & Defense, VA,7,1,0,0
Research Scientist Patient Preferences (Remote),90-109 ,3.8,"Bethesda, MD",501 to 1000 employees,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals, MD,7,0,0,0
Data Scientist,90-109 ,3.4,"Woodbridge, NJ",1001 to 5000 employees,Company - Private,Insurance Carriers,Insurance, NJ,38,0,0,0
Scientist - Biomarker and Flow Cytometry,90-109 ,2.4,"San Diego, CA",501 to 1000 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals, CA,14,0,0,0
Data Scientist,90-109 ,2.9,"Cambridge, MA",51 to 200 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals, MA,20,0,0,0
Analytics Manager,90-109 ,4.4,"Dearborn, MI",201 to 500 employees,Company - Private,Advertising & Marketing,Business Services, MI,53,0,0,1
Data Scientist,90-109 ,2.9,"Maryland Heights, MO",10000+ employees,Subsidiary or Business Segment,"Cable, Internet & Telephone Providers",Telecommunications, MO,4,1,0,0
Staff Scientist- Upstream PD,90-109 ,2.7,"Rockville, MD",201 to 500 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals, MD,59,0,0,0
Data Engineer,90-109 ,4.2,"Carpinteria, CA",1001 to 5000 employees,Company - Private,Computer Hardware & Software,Information Technology, CA,18,1,1,0
Sr Scientist - Extractables & Leachables,90-109 ,3.5,"Columbia, SC",201 to 500 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals, SC,25,0,0,0
ELISA RESEARCH SCIENTIST (CV-15),90-109 ,0,"Hauppauge, NY",,,,, NY,-1,0,0,0
Sr Data Scientist,90-109 ,4.2,"Saint Louis, MO",10000+ employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals, MO,57,1,0,0
Data Scientist,101-165 ,4.5,"Herndon, VA",501 to 1000 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology, VA,8,1,0,0
Experienced Data Scientist,101-165 ,4.4,"Washington, DC",1 to 50 employees,Company - Private,Federal Agencies,Government, DC,23,1,1,1
Machine Learning Engineer,101-165 ,0,"Reston, VA",,,,, VA,-1,1,0,0
Data Scientist,101-165 ,3.5,"Fort Meade, MD",10000+ employees,Company - Public,Aerospace & Defense,Aerospace & Defense, MD,51,0,0,0
Data Scientist,101-165 ,4.5,"San Francisco, CA",201 to 500 employees,Company - Private,Computer Hardware & Software,Information Technology, CA,14,1,1,0
Say Business Data Analyst,101-165 ,4.1,"Columbia, MO",1001 to 5000 employees,Company - Private,Insurance Carriers,Insurance, MO,74,1,0,1
Geospatial Data Scientist,101-165 ,3.5,"Chantilly, VA",5001 to 10000 employees,Company - Public,Aerospace & Defense,Aerospace & Defense, VA,-1,0,0,0
Data Analyst,101-165 ,2.7,"Washington, DC",501 to 1000 employees,Nonprofit Organization,Telecommunications Services,Telecommunications, DC,23,1,0,0
Computational Scientist,101-165 ,3.4,"Vicksburg, MS",10000+ employees,Subsidiary or Business Segment,IT Services,Information Technology, MS,24,0,0,0
Data Scientist,101-165 ,4.4,"Chandler, AZ",201 to 500 employees,Company - Private,Real Estate,Real Estate, AZ,5,1,0,0
Senior Data Analyst,101-165 ,4,"San Francisco, CA",5001 to 10000 employees,Company - Public,Computer Hardware & Software,Information Technology, CA,38,1,1,0
Senior Data Analyst,101-165 ,4.2,"San Francisco, CA",5001 to 10000 employees,Company - Public,Research & Development,Business Services, CA,52,1,1,1
Data Engineer,101-165 ,3.5,"Birmingham, AL",10000+ employees,Company - Public,,, AL,63,1,1,0
Sr Data Analyst,101-165 ,2.3,"Blue Bell, PA",1001 to 5000 employees,Other Organization,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals, PA,17,0,0,1
Data Scientist,101-165 ,3.4,"Chicago, IL",5001 to 10000 employees,Company - Public,Staffing & Outsourcing,Business Services, IL,74,0,0,0
"Machine Learning Scientist - Bay Area, CA",101-165 ,3.3,"Redwood City, CA",501 to 1000 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals, CA,5,1,0,0
Data Scientist,101-165 ,4.7,"Redwood City, CA",201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology, CA,11,1,0,0
Senior Data Scientist - Algorithms,101-165 ,3.9,"New York, NY",201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology, NY,6,1,0,0
Data Analyst,101-165 ,3.3,"San Diego, CA",1001 to 5000 employees,Subsidiary or Business Segment,Banks & Credit Unions,Finance, CA,67,1,0,0
Senior Data & Machine Learning Scientist,101-165 ,3.3,"Chicago, IL",501 to 1000 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals, IL,5,1,0,0
Data Engineer,101-165 ,4.4,"Cincinnati, OH",201 to 500 employees,Company - Private,Venture Capital & Private Equity,Finance, OH,22,1,0,0
"Data Scientist - Statistics, Early Career",56-97 ,3.7,"Richland, WA",1001 to 5000 employees,Government,Energy,"Oil, Gas, Energy & Utilities", WA,55,0,0,0
Data Scientist,56-97 ,3.5,"Memphis, TN",1001 to 5000 employees,Company - Private,Chemical Manufacturing,Manufacturing, TN,75,1,0,0
Machine Learning Engineer,56-97 ,3.6,"Memphis, TN",501 to 1000 employees,Nonprofit Organization,Federal Agencies,Government, TN,53,1,0,0
Research Scientist - Patient-Centered Research (Remote),56-97 ,3.8,"Bethesda, MD",501 to 1000 employees,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals, MD,7,0,0,0
Jr. Business Data Analyst (position added 6/12/2020),56-97 ,4.7,"Harrisburg, PA",201 to 500 employees,Company - Private,Advertising & Marketing,Business Services, PA,23,0,0,0
Sr. Data Scientist II,56-97 ,3.5,"New York, NY",1001 to 5000 employees,Company - Public,Insurance Carriers,Insurance, NY,72,1,1,0
Data Scientist,56-97 ,3.3,"Oak Ridge, TN",5001 to 10000 employees,Company - Public,Aerospace & Defense,Aerospace & Defense, TN,170,1,0,0
Senior Data Analyst,56-97 ,3.9,"San Francisco, CA",51 to 200 employees,Company - Public,Internet,Information Technology, CA,12,1,0,1
Lead Data Scientist,56-97 ,3.7,"Boston, MA",5001 to 10000 employees,Company - Private,Insurance Carriers,Insurance, MA,169,1,1,0
Production Engineer - Statistics/Data Analysis,56-97 ,3.9,"San Carlos, CA",501 to 1000 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals, CA,16,1,0,0
Statistical Scientist,56-97 ,4,"South San Francisco, CA",10000+ employees,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals, CA,44,1,0,0
